title
10 Things I Hate About You 
12
12 and Holding
12 Monkeys
12 Years a Slave
127 Hours
1492: Conquest of Paradise
15 Minutes
17 Again
187
2001: A Space Odyssey
2012
25th Hour
28 Days Later
30 Minutes or Less
42
44 Inch Chest
48 Hrs.
50-50
500 Days of Summer
8 Mile
8MM
9
A Few Good Men
A Most Violent Year
A Prayer Before Dawn
A Quiet Place
A Scanner Darkly
A Serious Man
A.I.
Above the Law
Absolute Power
The Abyss
Ace Ventura: Pet Detective
Adaptation
The Addams Family
The Adjustment Bureau
The Adventures of Buckaroo Banzai Across the Eighth Dimension
Affliction
After School Special
After.Life
Agnes of God
Air Force One
Airplane
Airplane 2: The Sequel
Aladdin
Ali
Alien
Alien 3
Alien Nation
Alien vs. Predator
Alien: Resurrection
Aliens
All About Eve
All About Steve
All the King's Men
All the President's Men
Almost Famous
Alone in the Dark
Amadeus
Amelia
American Beauty
American Gangster
American Graffiti
American History X
American Hustle
American Madness
American Milkshake
American Outlaws
American Pie
The American President
American Psycho
American Shaolin: King of Kickboxers II
American Sniper
American Splendor
American Werewolf in London
The American
The Amityville Asylum
Amour
An Education
Analyze That
Analyze This
Anastasia
Angel Eyes
Angels & Demons
Anna Karenina
Annie Hall
The Anniversary Party
Anonymous
Antitrust
Antz
The Apartment
Apocalypse Now
Apollo 13
April Fool's Day
Apt Pupil
Arbitrage
Arcade
Arctic Blue
Argo
Armageddon
Army of Darkness
Arsenic and Old Lace
Arthur
The Artist
As Good As It Gets
Assassins
The Assignment
At First Sight
August: Osage County
Austin Powers - International Man of Mystery
Austin Powers - The Spy Who Shagged Me
Authors Anonymous
Autumn in New York
Avatar
The Avengers
The Avengers
"Avventura, L'"
Awakenings
Babel
Bachelor Party
The Bachelor Party
Back to the Future
Back to the Future II & III
The Back-up Plan
Backdraft
Bad Boys
Bad Country
Bad Day at Black Rock
Bad Dreams
Bad Lieutenant
Bad Santa
Bad Teacher
Badlands
Bamboozled
Barry Lyndon
Barton Fink
Basic
Basic Instinct
Basquiat
Batman
Batman 2
Batman and Robin
Batman Begins
Batman Forever
Batman Returns
The Battle of Algiers
The Battle of Shaker Heights
Battle: Los Angeles
The Beach
Bean
Beasts of No Nation
Beasts of the Southern Wild
Beauty and the Beast
Beavis and Butt-head Do America
Beginners
Being Human
Being John Malkovich
Being There
The Believer
Belle
Beloved
Benny & Joon
The Best Exotic Marigold Hotel
Big
The Big Blue
Big Eyes
Big Fish
The Big Lebowski
The Big Sick
The Big White
Birdman
The Birds
Birthday Girl
The Black Dahlia
Black Panther
Black Rain
Black Snake Moan
Black Swan
BlacKkKlansman
Blade
Blade II
Blade Runner
Blade: Trinity
The Blast from the Past
The Blind Side
The Bling Ring
Blood and Wine
Blood Simple
Blow
Blue Valentine
Blue Velvet
The Blues Brothers
"Bodies, Rest & Motion"
Body Heat
Body of Evidence
Bodyguard
Bones
Bonfire of the Vanities
Bonnie and Clyde
Boogie Nights
The Book of Eli
Boondock Saints 2: All Saints Day
The Boondock Saints
Bottle Rocket
Bound
The Bounty Hunter
The Bourne Identity
The Bourne Supremacy
The Bourne Ultimatum
The Box
The Boxtrolls
Boyhood
Braveheart
Brazil
Break
Breakdown
The Breakfast Club
Breaking Away
Brick
Bridesmaids
Bringing Out the Dead
Broadcast News
Broken Arrow
Broken Embraces
The Brothers Bloom
Bruce Almighty
Buffy the Vampire Slayer
Bull Durham
Buried
Burlesque
Burn After Reading
Burning Annie
The Butterfly Effect
Cable Guy
Candle to Water
Capote
Carrie
Cars 2
Casablanca
Case 39
Casino
Cast Away
Catch Me If You Can
Catwoman
Cecil B. Demented
Cedar Rapids
Celeste & Jesse Forever
The Cell
Cellular
The Change-Up
Changeling
Chaos
Charade
Charlie's Angels
Chasing Amy
Chasing Sleep
Cherry Falls
Chinatown
Christ Complex
Chronicle
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
The Cider House Rules
The Cincinnati Kid
Cinema Paradiso
Cirque du Freak: The Vampire's Assistant
Citizen Kane
City of Joy
Clash of the Titans
Clerks
Cliffhanger
A Clockwork Orange
Clueless
Cobb
Coco
Code of Silence
